rodent_id,trap_number,trap_night,initial_species_id,group,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,photos_taken,notes,visit,all_samples,date_entered,study_site,village,trap_uid,dorsal_image_id,ventral_image_id,cut_tail,key,genus
2-SEI-7003,74,1,rattus_spp,rodent,75,160,174,30,22,40,male,outside,not_noted,na,na,NA,NA,y,NA,2,yes,2021-04-13,7,seilama,seilama_2_1_7_74,NA,NA,NA,NA,NA
2-SEI-7004,87,1,mastomys_spp,rodent,80,140,125,25,19,32,female,na,na,open,visible,9,6,y,NA,2,yes,2021-04-13,7,seilama,seilama_2_1_7_87,NA,NA,NA,NA,NA
2-SEI-7005,89,1,mastomys_spp,rodent,52,111,104,22,17,25,female,na,na,open,visible,10,6,y,NA,2,yes,2021-04-13,7,seilama,seilama_2_1_7_89,NA,NA,NA,NA,NA
2-SEI-7007,98,1,mastomys_spp,rodent,66,130,129,22,18,30,male,outside,developed,na,na,NA,NA,y,NA,2,yes,2021-04-13,7,seilama,seilama_2_1_7_98,NA,NA,NA,NA,NA
2-SEI-4006,114,1,crocidura_spp,shrew,22,110,74,18,8,35,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,4,seilama,seilama_2_1_4_114,NA,NA,NA,NA,NA
2-SEI-4008,127,1,crocidura_spp,shrew,12,85,66,15,6,25,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,4,seilama,seilama_2_1_4_127,NA,NA,NA,NA,NA
2-SEI-4009,128,1,crocidura_spp,shrew,15,74,60,15,6,NA,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,4,seilama,seilama_2_1_4_128,NA,NA,NA,NA,NA
2-SEI-2010,156,1,praomys_spp,rodent,46,117,136,24,18,38,female,na,na,open,barely_visible,3,0,y,NA,2,yes,2021-04-13,2,seilama,seilama_2_1_2_156,NA,NA,NA,NA,NA
2-SEI-2011,174,1,praomys_spp,rodent,50,128,99,22,17,35,male,outside,developed,na,na,NA,NA,y,NA,2,yes,2021-04-13,2,seilama,seilama_2_1_2_174,NA,NA,NA,NA,NA
2-SEI-2012,180,1,praomys_spp,rodent,25,99,104,20,16,30,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,2,seilama,seilama_2_1_2_180,NA,NA,NA,NA,NA
2-SEI-2013,182,1,lophuromys_spp,rodent,58,135,NA,25,18,40,female,na,na,open,visible,3,0,y,broken_tail,2,yes,2021-04-13,2,seilama,seilama_2_1_2_182,NA,NA,NA,NA,NA
2-SEI-2014,186,1,crocidura_spp,shrew,22,100,65,14,8,30,female,na,na,open,visible,4,0,y,NA,2,yes,2021-04-13,2,seilama,seilama_2_1_2_186,NA,NA,NA,NA,NA
2-SEI-3015,201,1,mastomys_spp,rodent,52,130,120,25,18,35,male,outside,developed,na,na,NA,NA,y,NA,2,yes,2021-04-13,3,seilama,seilama_2_1_3_201,NA,NA,NA,NA,NA
2-SEI-3016,215,1,mastomys_spp,rodent,48,109,119,22,16,30,female,na,na,not_open,barely_visible,NA,0,y,NA,2,yes,2021-04-13,3,seilama,seilama_2_1_3_215,NA,NA,NA,NA,NA
2-SEI-3017,225,1,mastomys_spp,rodent,35,115,119,22,16,29,male,outside,undeveloped,na,na,NA,NA,y,NA,2,yes,2021-04-13,3,seilama,seilama_2_1_3_225,NA,NA,NA,NA,NA
2-SEI-3018,232,2,mastomys_spp,rodent,40,105,110,24,16,29,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,3,seilama,seilama_2_2_3_232,NA,NA,NA,NA,NA
2-SEI-3019,265,2,mastomys_spp,rodent,65,125,105,26,16,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,3,seilama,seilama_2_2_3_265,NA,NA,NA,NA,NA
2-SEI-3020,268,2,mastomys_spp,rodent,48,120,115,24,18,31,female,NA,NA,not_open,not_noted,NA,0,y,NA,2,yes,2021-04-14,3,seilama,seilama_2_2_3_268,NA,NA,NA,NA,NA
2-SEI-5021,272,2,crocidura_spp,shrew,22,105,82,20,10,NA,female,NA,NA,not_open,not_noted,NA,0,y,NA,2,yes,2021-04-14,5,seilama,seilama_2_2_5_272,NA,NA,NA,NA,NA
2-SEI-5022,292,2,praomys_spp,rodent,22,95,111,22,19,28,male,outside,undeveloped,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,5,seilama,seilama_2_2_5_292,NA,NA,NA,NA,NA
2-SEI-5023,296,2,praomys_spp,rodent,39,110,135,22,16,26,female,NA,NA,open,visible,3,0,y,NA,2,yes,2021-04-14,5,seilama,seilama_2_2_5_296,NA,NA,NA,NA,NA
2-SEI-1024,5,2,mus_minutoides,rodent,11,70,69,15,10,21,female,NA,NA,not_open,NA,NA,NA,NA,NA,2,no,2021-04-14,1,seilama,seilama_2_2_1_5,NA,NA,NA,NA,NA
2-SEI-1025,11,2,mastomys_spp,rodent,43,107,119,17,17,29,male,outside,undeveloped,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_11,NA,NA,NA,NA,NA
2-SEI-1026,19,2,praomys_spp,rodent,58,125,160,26,20,36,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_19,NA,NA,NA,NA,NA
2-SEI-1027,22,2,mastomys_spp,rodent,35,104,105,22,17,28,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_22,NA,NA,NA,NA,NA
2-SEI-1028,43,2,mus_minutoides,rodent,9,68,50,12,9,20,female,NA,NA,not_open,visible,2,0,y,NA,2,yes,2021-04-14,1,seilama,seilama_2_2_1_43,NA,NA,NA,NA,NA
2-SEI-7029,67,2,mastomys_spp,rodent,55,121,112,24,17,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,7,seilama,seilama_2_2_7_67,NA,NA,NA,NA,NA
2-SEI-7030,69,2,mastomys_spp,rodent,35,101,119,24,16,25,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-14,7,seilama,seilama_2_2_7_69,NA,NA,NA,NA,NA
2-SEI-7031,86,3,mastomys_spp,rodent,40,114,115,25,18,32,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-15,7,seilama,seilama_2_3_7_86,NA,NA,NA,NA,NA
2-SEI-7032,87,3,mastomys_spp,rodent,80,140,139,25,20,34,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-15,7,seilama,seilama_2_3_7_87,NA,NA,NA,NA,NA
2-SEI-3033,126,3,mastomys_spp,rodent,33,99,102,24,15,27,female,NA,NA,not_open,visible,0,0,y,NA,2,yes,2021-04-15,4,seilama,seilama_2_3_4_126,NA,NA,NA,NA,NA
2-SEI-4034,139,3,lemniscomys_spp,rodent,45,117,120,25,15,29,female,NA,NA,open,visible,4,0,y,NA,2,yes,2021-04-15,4,seilama,seilama_2_3_4_139,NA,NA,NA,NA,NA
2-SEI-4035,140,3,mastomys_spp,rodent,27,98,100,24,15,25,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-15,4,seilama,seilama_2_3_4_140,NA,NA,NA,NA,NA
2-SEI-2036,153,3,crocidura_spp,shrew,12,94,60,14,6,19,female,NA,NA,not_open,not_noted,NA,0,y,NA,2,yes,2021-04-15,2,seilama,seilama_2_3_2_153,NA,NA,NA,NA,NA
2-SEI-2037,193,3,praomys_spp,rodent,48,125,142,22,20,32,female,NA,NA,open,visible,3,0,y,NA,2,yes,2021-04-15,2,seilama,seilama_2_3_2_193,NA,NA,NA,NA,NA
2-SEI-2038,194,3,mastomys_spp,rodent,33,103,102,24,18,28,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-15,2,seilama,seilama_2_3_2_194,NA,NA,NA,NA,NA
2-SEI-3039,219,3,mastomys_spp,rodent,56,125,125,24,17,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-15,3,seilama,seilama_2_3_3_219,NA,NA,NA,NA,NA
2-SEI-3040,226,3,mastomys_spp,rodent,45,112,117,22,16,30,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-15,3,seilama,seilama_2_3_3_226,NA,NA,NA,NA,NA
2-SEI-5041,306,3,praomys_spp,rodent,40,109,130,22,19,25,female,NA,NA,open,visible,3,4,y,NA,2,yes,2021-04-15,5,seilama,seilama_2_3_5_306,NA,NA,NA,NA,NA
2-SEI-1042,26,4,praomys_spp,rodent,32,107,122,22,18,26,male,outside,undeveloped,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,1,seilama,seilama_2_4_1_26,NA,NA,NA,NA,NA
2-SEI-1043,47,4,praomys_spp,rodent,41,122,142,25,19,30,female,NA,NA,not_recorded,visible,3,0,y,NA,2,yes,2021-04-16,1,seilama,seilama_2_4_1_47,NA,NA,NA,NA,NA
2-SEI-7044,66,4,mastomys_spp,rodent,30,104,105,24,17,27,female,NA,NA,not_recorded,visible,10,0,y,NA,2,yes,2021-04-16,7,seilama,seilama_2_4_7_66,NA,NA,NA,NA,NA
2-SEI-7045,67,4,mastomys_spp,rodent,60,127,125,24,18,35,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-16,7,seilama,seilama_2_4_7_67,NA,NA,NA,NA,NA
2-SEI-7046,82,4,rattus_spp,rodent,55,130,165,30,20,32,male,outside,not_noted,NA,NA,NA,NA,y,NA,2,yes,2021-04-16,7,seilama,seilama_2_4_7_82,NA,NA,NA,NA,NA
