rodent_uid,trap_number,trap_night,initial_species_id,group,weight,head_body,tail,hind_foot,ear,length_skull,sex,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,photos_taken,notes,visit,all_samples,date_entered,study_site,village,trap_uid,form_entry,dorsal_image_id,ventral_image_id,cut_tail,key,genus,filter_label_number
2-SEI-702,67,2,mastomys_spp,rodent,55,121,112,24,17,30,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-14,7,seilama,seilama_2_2_7_67,NA,NA,NA,NA,NA,NA,NA
2-SEI-703,69,2,mastomys_spp,rodent,35,101,119,24,16,25,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-14,7,seilama,seilama_2_2_7_69,NA,NA,NA,NA,NA,NA,NA
2-SEI-703,86,3,mastomys_spp,rodent,40,114,115,25,18,32,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-15,7,seilama,seilama_2_3_7_86,NA,NA,NA,NA,NA,NA,NA
2-SEI-703,87,3,mastomys_spp,rodent,80,140,139,25,20,34,male,outside,developed,NA,NA,NA,NA,y,NA,2,yes,2021-04-15,7,seilama,seilama_2_3_7_87,NA,NA,NA,NA,NA,NA,NA
2-SEI-303,126,3,mastomys_spp,rodent,33,99,102,24,15,27,female,NA,NA,not_open,visible,0,0,y,NA,2,yes,2021-04-15,4,seilama,seilama_2_3_4_126,NA,NA,NA,NA,NA,NA,NA
2-SEI-403,139,3,lemniscomys_spp,rodent,45,117,120,25,15,29,female,NA,NA,open,visible,4,0,y,NA,2,yes,2021-04-15,4,seilama,seilama_2_3_4_139,NA,NA,NA,NA,NA,NA,NA
2-SEI-403,140,3,mastomys_spp,rodent,27,98,100,24,15,25,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-15,4,seilama,seilama_2_3_4_140,NA,NA,NA,NA,NA,NA,NA
2-SEI-203,153,3,crocidura_spp,shrew,12,94,60,14,6,19,female,NA,NA,not_open,not_noted,NA,0,y,NA,2,yes,2021-04-15,2,seilama,seilama_2_3_2_153,NA,NA,NA,NA,NA,NA,NA
2-SEI-203,193,3,praomys_spp,rodent,48,125,142,22,20,32,female,NA,NA,open,visible,3,0,y,NA,2,yes,2021-04-15,2,seilama,seilama_2_3_2_193,NA,NA,NA,NA,NA,NA,NA
2-SEI-203,194,3,mastomys_spp,rodent,33,103,102,24,18,28,female,NA,NA,open,visible,10,0,y,NA,2,yes,2021-04-15,2,seilama,seilama_2_3_2_194,NA,NA,NA,NA,NA,NA,NA
